Date,Open,Highest,Lowest,Close,Range,Range%,Trade,Volume
16/11/2016,3432.4336,3435.6366,3419.2435,3429.5921,-0.2776,-0.0081,12980851100,1.29E+11
15/11/2016,3428.8663,3434.9216,3415.9948,3429.8697,-0.3785,-0.011,13456632000,1.35E+11
14/11/2016,3409.2241,3452.6159,3408.1392,3430.2482,13.0271,0.3812,21324710500,2.08E+11
11/11/2016,3387.9481,3422.6715,3382.8925,3417.2211,26.6092,0.7848,19878149600,1.91E+11
10/11/2016,3374.906,3403.0158,3374.906,3390.6119,37.5571,1.1201,13470553500,1.33E+11
09/11/2016,3370.6,3373.096,3322.0798,3353.0548,-18.0628,-0.5358,13911005900,1.45E+11
08/11/2016,3367.6976,3383.9176,3361.1292,3371.1176,14.526,0.4328,10314828200,1.05E+11
07/11/2016,3353.444,3362.7416,3342.3122,3356.5916,2.4168,0.0721,9987798800,94370876771
04/11/2016,3362.2056,3377.6392,3348.4264,3354.1748,-10.91,-0.3242,10406965500,1.11E+11
03/11/2016,3326.9044,3379.9888,3324.8378,3365.0848,31.7324,0.952,12622350400,1.37E+11
02/11/2016,3350.71,3356.3976,3331.384,3333.3524,-25.6992,-0.7651,9119710400,1.00E+11
01/11/2016,3338.71,3359.394,3334.4568,3359.0516,22.7738,0.6826,7493819900,84717683750
31/10/2016,3332.406,3340.4696,3317.328,3336.2778,-3.8484,-0.1152,7135286300,80701820968
28/10/2016,3347.1438,3370.7484,3337.2888,3340.1262,-5.5688,-0.1664,9313330900,1.05E+11
27/10/2016,3351.46,3352.354,3335.133,3345.695,-9.105,-0.2714,7762985100,85241012414
26/10/2016,3365.197,3367.831,3349.574,3354.8,-12.654,-0.3758,9802478600,1.05E+11
25/10/2016,3367.475,3373.913,3356.585,3367.454,-0.123,-0.0037,11119169300,1.11E+11
24/10/2016,3332.512,3382.825,3330.967,3367.577,39.837,1.1971,15301434500,1.50E+11
21/10/2016,3315.715,3341.56,3309.178,3327.74,9.136,0.2753,10978517600,1.07E+11
